id	score	topic	answer	problem_preview
542	0.444444	number_theory	1	Find all positive integers \(n\) such that the expression \[ \frac{n^3 + 3n^2 + 8n + 4}{n^2 + 1} \] is an integer, and prove that these are the only solutions.
543	0.777778	number_theory	210	Find the smallest positive integer \( n \) such that the number of distinct positive divisors of \( n \) is exactly 16 and \( n \) is a product of distinct prime numbers.
544	0.444444	geometry	1	A function \( f: \mathbb{Z} \to \mathbb{Z} \) satisfies the recurrence relation \( f(n+1) = f(n) + 3n \) for all integers \( n \), and it is known that \( f(1) = 1 \). Find the smallest positive integer \( k \) such that \( f(k) \) is a pe...
545	0.444444	algebra	3	Let $S$ be the set of all continuous functions $f: \mathbb{R} \rightarrow \mathbb{R}$ such that for all $x \in \mathbb{R}$, \[ f(x) + f(x + 1) + f(x + 2) = 0. \] Determine the dimension of the vector space spanned by $S$.
546	0.666667	number_theory	1	Find the smallest positive integer \( n \) such that the polynomial \( P(x) = x^n + ax^{n-1} + bx^{n-2} + \cdots + k \) has at least one real root, where \( a, b, \ldots, k \) are real numbers with the property that the sum of any non-empt...
547	0.777778	number_theory	0	Let $f(x)$ be a polynomial with integer coefficients such that $f(0) = 1$, $f(1) = 2$, and $f(2) = 5$. If $f(n) = n^3 + 3n^2 + n + 1$ for all integers $n$, find the number of integer values of $x$ for which $f(f(x)) = x^3 + 3x^2 + x + 1$.
548	0.333333	number_theory	5001	Consider the sequence \( \{a_n\} \) defined by the recurrence relation \( a_{n+1} = a_n + \frac{1}{a_n} \) with the initial term \( a_1 = 1 \). Determine the smallest positive integer \( n \) such that \( a_n > 100 \).
549	0.666667	algebra	4	Let $p(x) = x^3 - 3x^2 + 4$ and $q(x) = x^3 - 3x + 2$. Find the number of distinct real solutions to the equation $p(q(x)) = 0$.
550	0.555556	number_theory	50	In a town, there are 100 houses, each with a unique number from 1 to 100. Each house is connected to exactly one other house with a cable, and no two houses are connected more than once. Additionally, for every house \(i\), the house with ...
551	0.444444	geometry	\sqrt{3}	In the complex plane, let \(A, B,\) and \(C\) be the vertices of an equilateral triangle with side length \(2\sqrt{3}\). Let \(P\) be a point inside the triangle such that the distances from \(P\) to the sides of the triangle are \(d_1, d_...
552	0.444444	number_theory	1	Find the smallest positive integer \( n \) such that the polynomial \( P(x) = x^n - x^{n-1} - \cdots - x + 1 \) has at least one rational root. Prove your answer.
553	0.333333	number_theory	6	Find all positive integers \( n \) such that \( n^2 + n + 1 \) divides \( 19n^2 + 13n + 12 \).
554	0.777778	geometry	3a^2	Consider a regular tetrahedron with edge length \(a\). A point \(P\) is chosen inside the tetrahedron such that the distances from \(P\) to the four vertices are \(d_1, d_2, d_3,\) and \(d_4\), respectively. Given that the sum of the squar...
555	0.333333	geometry	4	Let \(ABC\) be an isosceles triangle with \(AB = AC\). A point \(P\) lies inside the triangle such that the line segment \(AP\) intersects \(BC\) at point \(D\) and \(BP\) intersects \(AC\) at point \(E\), with \(PE\) being perpendicular t...
556	0.444444	geometry	\frac{2\pi}{3} - \frac{\sqrt{3}}{2}	In the complex plane, let \( S \) be the set of points \( z \) that satisfy \( |z| < 1 \) and let \( P \) be the set of points \( z \) that satisfy \( |z - 1| < 1 \). Find the area of the region that is contained in both \( S \) and \( P \...
557	0.666667	algebra	0	Find all real numbers \( x \) such that the equation \( \left( x^2 - 1 \right)^4 + 4 \left( x^2 - 1 \right)^3 + 4 \left( x^2 - 1 \right)^2 + 1 = 0 \) has exactly one solution. Prove your answer.
558	0.777778	number_theory	1	Find all integers \( n \) such that \( 2^n + 2 \) is divisible by \( n^2 \).
559	0.333333	other	(11, 3)	In a magical kingdom, there are two types of creatures: goblins and giants. The goblins are known for their small size, and each goblin has exactly 3 heads. Giants, on the other hand, are much larger and each giant has exactly 5 heads. The...
560	0.777778	sequence	\sqrt{2}	In the sequence \( \{a_n\} \) defined by \( a_1 = 1 \) and \( a_{n+1} = \frac{a_n}{2} + \frac{1}{a_n} \) for all \( n \geq 1 \), find the value of \( a_{10} \). Additionally, determine the limit of the sequence as \( n \) approaches infini...
561	0.333333	number_theory	2	Let \( S \) be the set of all positive integers \( n \) such that \( n \) can be expressed in the form \[ n = a^2 + b^2 + c^2 \] for some non-negative integers \( a \), \( b \), and \( c \). Furthermore, \( n \) must satisfy the following ...
562	0.777778	number_theory	(1, 1, 1)	Find all triples of positive integers \((a, b, c)\) such that \(a^2 + b^2 + c^2 = abc + 2\) and \(a, b, c\) are pairwise coprime.
563	0.333333	number_theory	6	Find the smallest positive integer $n$ such that $\left(\frac{3+i\sqrt{3}}{2}\right)^n + \left(\frac{3-i\sqrt{3}}{2}\right)^n$ is a real number and divisible by 4.
564	0.666667	algebra	f(x) = 0	Find all functions \( f: \mathbb{R} \rightarrow \mathbb{R} \) that satisfy the functional equation \[ f(x^2 + yf(z)) = xf(x) + zf(y) \] for all real numbers \( x, y, \) and \( z \).
565	0.444444	number_theory	0	Consider a sequence of positive integers \(a_n\) defined by \(a_1 = 1\), \(a_2 = 2\), and for all \(n \geq 3\), \(a_n = a_{n-1}^2 + a_{n-2}\). Find the remainder when \(a_{2023}\) is divided by \(2023\).
566	0.750000	geometry	1	Let \( f(n) \) be a function defined for all positive integers \( n \), where \( f(n) = n^2 + n + 1 \). Consider the sequence \( a_n \) defined by \( a_1 = 1 \) and \( a_{n+1} = f(a_n) \) for \( n \geq 1 \). Determine the smallest positive...
567	0.777778	number_theory	n + m - \gcd(n, m)	Let \( A \) and \( B \) be two finite sets of real numbers with \( |A| = n \) and \( |B| = m \) respectively, where \( n, m \in \mathbb{N} \) and \( n \geq m \). Define \( S \) as the set of all possible sums of the form \( a + b \) where ...
568	0.666667	number_theory	1	Let \( P(x) \) be a polynomial with integer coefficients such that \( P(1) = 5 \) and \( P(2) = 11 \). If \( P(x) \) is also known to be a quadratic polynomial, determine the coefficient of the \( x^2 \) term.
569	0.555556	number_theory	2047276	Let \( f: \mathbb{Z} \to \mathbb{Z} \) be a function such that for all integers \( x \) and \( y \), the following properties hold: 1. \( f(x + y) = f(x) + f(y) + xy \) 2. \( f(1) = 1 \) Find the value of \( f(2023) \).
570	0.666667	number_theory	1, 3	Find all positive integers \( n \) such that \( n \) divides \( 2^n + 1 \).
571	0.333333	geometry	9	Find all positive integers \( n \) for which \( n^3 - 14n^2 + 53n - 72 \) is a perfect square.
572	0.555556	number_theory	1	Find all positive integers \(n\) for which the expression \[ \frac{n^2 + 2n + 2}{n^2 + n + 1} \] is an integer.
573	0.333333	geometry	\frac{\sqrt{3}}{\pi}	A regular octahedron is inscribed in a sphere of radius \( R \). Each face of the octahedron is an equilateral triangle. If a point is chosen at random inside the sphere, what is the probability that it lies inside one of the eight faces o...
574	0.777778	number_theory	11	Find the smallest positive integer \( n \) such that \( \frac{1}{2} + \frac{1}{3} + \frac{1}{4} + \cdots + \frac{1}{n} \) exceeds 2.
575	0.555556	geometry	1	Find the smallest positive integer \( n \) such that the sum of the squares of the first \( n \) positive integers is divisible by \( n \) itself. In other words, determine \( n \) where: \[ \sum_{k=1}^{n} k^2 \equiv 0 \pmod{n} \]
576	0.555556	number_theory	86400	Find the number of ways to arrange the digits 1, 2, 3, 4, 5, 6, 7, 8, 9, and 0 in a row such that no two even digits are adjacent and the sum of the first five digits is divisible by 5.
577	0.777778	number_theory	5	In the complex plane, let $z_1 = e^{2\pi i/5}$ and $z_2 = e^{6\pi i/5}$. Consider the sequence of points $P_n$ defined recursively by $P_1 = z_1 + z_2$ and for $n \geq 2$, $P_n = P_{n-1} + \frac{P_{n-1} - z_1}{z_2 - z_1}$. Find the smalles...
578	0.444444	algebra	\frac{5}{9}	Let \(a, b,\) and \(c\) be positive real numbers such that \(a + b + c = 1\) and \(a, b, c\) form an arithmetic sequence. Determine the maximum value of \(a^2 + b^2 + c^2\).
579	0.444444	geometry	101	In the coordinate plane, a set of points $P$ contains all lattice points $(x, y)$ with $0 \leq x, y \leq 100$. A "Diophantine triangle" is formed by selecting three points from $P$ such that the distances between any two points are rationa...
580	0.555556	algebra	3	In the complex plane, let \( z \) be a complex number such that \( |z| = 1 \). Define the function \( f(z) = \frac{z^4 + z^2 + 1}{z^2 + z + 1} \). Find the maximum value of \( |f(z)| \) over all complex numbers \( z \) with \( |z| = 1 \).
581	0.444444	number_theory	100	A sequence of positive integers \( a_1, a_2, \dots, a_n \) satisfies the condition that for every \( k \geq 2 \), \( a_k \) is the smallest positive integer not appearing among \( a_1, a_2, \dots, a_{k-1} \) and not equal to \( a_{k-1} \)....
582	0.444444	number_theory	1	Find the number of ordered triples \((a, b, c)\) of positive integers such that \(a \leq b \leq c\), \(abc = 2024\), and \(a + b + c\) is divisible by 3.
583	0.555556	geometry	19	Consider a function \( f: \mathbb{Z} \to \mathbb{Z} \) defined by \( f(n) = n^3 - 3n^2 + 3n - 1 \). Find the number of integers \( n \) in the range \( -100 \leq n \leq 100 \) such that \( f(n) \) is a perfect square.
584	0.444444	number_theory	(1, 2), (2, 1)	Find all pairs of positive integers \((x, y)\) such that \(x^3 + y^3 = (x + y)^2\).
585	0.777778	number_theory	4	Find all positive integers \( n \) such that the equation \( x^2 - nx + n = 0 \) has integer solutions for \( x \), and additionally, the product of the solutions is less than \( n^2 \).
586	0.555556	number_theory	|S| \cdot \max(S)	Let \( S \) be a finite set of positive integers. Define a function \( f: S \times S \to \mathbb{Z} \) such that for any \( x, y \in S \), \( f(x, y) \) is the smallest positive integer that cannot be expressed as \( ax + by \) for any non...
587	0.444444	geometry	0	Consider a sequence of \( n \) distinct points on a circle, labeled \( P_1, P_2, \dots, P_n \). A "jump" is defined as moving from one point to the next in the clockwise direction. A "walk" is a sequence of jumps where no three consecutive...
588	0.666667	number_theory	1	Find the smallest positive integer \( n \) such that the equation \( n^2 + (n+1)^2 + (n+2)^2 = k^3 \) has no solution in positive integers \( k \).
589	0.333333	other	1	在整数 \(n\) 的某个表示中，\(n\) 是由 \(k\) 个非零数字组成，其中每个数字都可以取值为 \(1, 2, 3, 4, 5, 6, 7, 8, 9\)。这些数字的和被记为 \(S\)，而这些数字乘积的最后一位数字也被记为 \(P\)。已知对于所有的 \(n\)，\(S\) 和 \(P\) 都能被 \(k\) 整除。求满足条件的最小的 \(n\) 的值。
590	0.333333	number_theory	28	Find all positive integers $n$ such that the number of divisors of $n$ equals $n/2$, and $n$ is the sum of the cubes of its proper divisors. Additionally, prove that there are no other solutions for $n$ within the range of $1$ to $1000000$.
591	0.333333	number_theory	1	Let \( f: \mathbb{N} \to \mathbb{N} \) be a function such that for all positive integers \( n \), \[ f(n) = n^2 + 10n + 21 \] and for all positive integers \( a \) and \( b \), \[ f(ab) = f(a)f(b). \] Find the smallest positive integer \( ...
592	0.333333	number_theory	m	Let \( P(x) \) be a polynomial with integer coefficients such that \( P(1) = 2 \) and \( P(2) = 3 \). Suppose there exists an integer \( n \) such that \( P(n) = 2023 \). Prove that there exists an integer \( m \) such that \( P(m) = 2024 ...
593	0.666667	number_theory	1	Let \( S \) be the set of all positive integers. A function \( f: S \to S \) is defined such that for all \( n \in S \), \( f(f(n)) = 3n \). Determine the number of possible values of \( f(1) \) such that \( f \) is a well-defined function...
594	0.444444	geometry	(2, 2)	Find all pairs of positive integers \((a, b)\) such that both \(a + b\) and \(ab\) are perfect squares. Prove that these are the only possible solutions.
595	0.555556	geometry	2	Find all positive integers \( n \) such that the equation \[ x^n + y^n + z^n = 2015 \] has no solutions in positive integers \( x, y, z \) with \( x + y + z \) being a perfect square.
596	0.777778	number_theory	1	Find all positive integers \( n \) such that the equation \[ x^3 - y^3 = n^2 \] has a solution in integers \( x \) and \( y \), where \( x \neq y \) and \( \gcd(x, y) = 1 \).
597	0.333333	number_theory	2	Let \( P(x) \) be a polynomial with integer coefficients such that \( P(0) = 1 \) and \( P(1) = 5 \). Suppose that \( P(x) \) has exactly one real root, which is an integer. Find the number of possible values of the leading coefficient of ...
598	0.333333	number_theory	3	Let \( S \) be a set of positive integers such that for any two distinct elements \( a \) and \( b \) in \( S \), the sum \( a + b \) is not divisible by either \( a \) or \( b \). Find the maximum number of elements that \( S \) can conta...
599	0.444444	geometry	\frac{3\sqrt{3}}{2}	In the complex plane, consider the transformation \(T(z) = e^{i\theta}z + a\), where \(\theta\) is a fixed real number and \(a\) is a complex number with \(|a| = 1\). Let \(S\) be the set of all points \(z\) in the complex plane such that ...
600	0.666667	algebra	2	Let \( P(x) \) be a polynomial of degree \( n \) with real coefficients such that \( P(x) \geq 0 \) for all real \( x \). Suppose further that \( P(x) \) has no repeated roots and \( P'(x) \) (the derivative of \( P(x) \)) also has no repe...
601	0.666667	geometry	65 \frac{1}{3}	In triangle $ABC$, points $D$ and $E$ lie on sides $AB$ and $AC$, respectively, such that $DE$ is parallel to $BC$. If $AD = 3$, $DB = 4$, and the area of triangle $ADE$ is 12 square units, find the area of triangle $ABC$.
602	0.666667	algebra	\frac{9}{10}	Let $a, b, c$ be positive real numbers such that $a + b + c = 1$. Find the maximum value of the expression: \[ \frac{a}{1 + bc} + \frac{b}{1 + ca} + \frac{c}{1 + ab}. \]
603	0.333333	number_theory	2	Let \( P(x) \) be a monic polynomial with integer coefficients such that \( P(1) = 2024 \). Suppose \( P(x) \) has a root \( \alpha \) that is a complex number with real part strictly between 0 and 1. Define the sequence \( \{a_n\} \) by \...
604	0.333333	number_theory	8	Find the smallest positive integer \( n \) such that the equation \[ x_1^2 + x_2^2 + \cdots + x_n^2 = 2023 \] has no solution in integers \( x_i \).
605	0.333333	number_theory	5	Let \( f \) be a function defined on the positive integers such that \( f(n) = n^2 + 1 \). Define \( S \) as the set of all positive integers \( n \) for which \( f(n) \) is a prime number. Find the number of elements in \( S \) that are l...
606	0.555556	number_theory	1	Find the number of ways to arrange the numbers 1 through 9 in a 3x3 grid such that each number is greater than the number directly above it and the number to its left, if they exist. Additionally, ensure that the sum of the numbers in each...
607	0.555556	geometry	2	A circle with radius $r$ is inscribed in a square, and another smaller circle with radius $s$ is inscribed in one of the right triangles formed by the diagonal of the square. If the area of the smaller circle is exactly one-fourth of the a...
608	0.333333	combinatorics	57513	In a peculiar town, there are three types of houses: red, blue, and green. Each house is painted either with a unique color combination from red and blue, red and green, or blue and green. The town has a peculiar rule for painting new hous...
609	0.444444	geometry	1, 2, 3, \ldots	Find all positive integers \( n \) such that the sum of the cubes of the first \( n \) positive integers equals the square of the sum of the first \( n \) positive integers. That is, solve the equation \( \left( \sum_{k=1}^n k \right)^2 = ...
610	0.333333	geometry	D	Let \(ABC\) be an acute triangle with \(AB < AC\). Let \(M\) be the midpoint of \(BC\), and \(H\) the orthocenter of triangle \(ABC\). The circle \(\omega\) centered at \(M\) and passing through \(A\) intersects \(BH\) and \(CH\) at points...
611	0.444444	geometry	12	In triangle $ABC$, let $D$, $E$, and $F$ be the midpoints of sides $BC$, $CA$, and $AB$, respectively. The medians $AD$, $BE$, and $CF$ intersect at the centroid $G$. If the area of triangle $ABC$ is 144 square units, find the area of tria...
612	0.333333	number_theory	1	Let \( S \) be the set of all positive integers that can be expressed as the sum of two or more consecutive positive integers. Determine the smallest positive integer \( n \) such that \( n \notin S \) and \( n+1 \in S \).
613	0.444444	number_theory	6	What is the smallest positive integer \( n \) such that the polynomial \( P(x) = x^n - 5x^{n-1} + 10x^{n-2} - 10x^{n-3} + 5x^{n-4} - x^{n-5} \) has exactly five distinct real roots?
614	0.333333	other	n	在二维平面上有一个由n个不同位置的点组成的集合S，这些点构成了一个三角形集合T。从T中随机选择一个三角形移除，直到T为空。请问，在保证每个点至少被选中一次的前提下，S中最多可能有多少个点？
615	0.666667	combinatorics	6	In a magical kingdom, there are four cities, each named after a cardinal direction: Northville, Eastton, Southburg, and Westwood. The king has decided to build a network of roads connecting all these cities such that each city is connected...
616	0.444444	combinatorics	\frac{30}{121}	A fair six-sided die is rolled repeatedly. Let \( X \) be the number of rolls until the first 6 appears, and let \( Y \) be the number of rolls until the first 5 appears. Find the probability that \( X \) is even and \( Y \) is odd.
617	0.777778	number_theory	N	Let $f(x)$ be a polynomial with real coefficients such that $f(0) = 1$ and $f(n)$ is an integer for all integers $n$. Prove that there exists a positive integer $N$ such that $f(n)$ is divisible by $N$ for all integers $n$.
618	0.333333	geometry	1000	Consider a sequence of integers $a_1, a_2, a_3, \ldots, a_n$ such that each $a_i$ is a positive integer and $a_i \leq a_{i+1}$. Given that $a_1 + a_2 + \cdots + a_n = 1000$ and the product of any three consecutive terms in the sequence is ...
619	0.444444	geometry	2	Find all positive integers \( n \) such that \( n! \) can be expressed as the sum of two positive integer squares and the sum of \( n \) consecutive positive integers.
620	0.333333	number_theory	1946	Let \( S \) be the set of all positive integers \( n \) such that the equation \( x^3 + y^3 + z^3 = n \) has positive integer solutions \( (x, y, z) \) where \( x + y + z = 10 \). Determine the sum of all elements in \( S \).
621	0.333333	number_theory	3	Find all positive integers \( n \) such that \( n \) divides \( 2^{n} - 2 \), and \( n \) is not a power of 2.
622	0.777778	geometry	8	In the complex plane, let $A$, $B$, and $C$ be three distinct points such that the midpoint of the line segment joining $A$ and $B$ lies on the unit circle, and the midpoint of the line segment joining $B$ and $C$ also lies on the unit cir...
623	0.444444	geometry	\frac{2}{\pi}	Let \( ABCD \) be a convex quadrilateral inscribed in a circle with radius \( r \). Let \( P \) be a point inside \( ABCD \) such that the areas of triangles \( \triangle ABP, \triangle BCP, \triangle CDP, \) and \( \triangle DAP \) are al...
624	0.555556	geometry	O	Let $ABC$ be an acute-angled triangle with $AB \neq AC$. Let $D$ be the foot of the altitude from $A$ to $BC$, and let $E$ and $F$ be the feet of the perpendiculars from $D$ to $AB$ and $AC$, respectively. Suppose that $M$ and $N$ are the ...
625	0.444444	geometry	10	In the xy-plane, let \( P \) be a point that lies on the line \( x + y = 10 \). Suppose \( P \) is also on the circle with radius 5 centered at the origin. Determine the maximum possible distance from \( P \) to the point \( (5, 0) \).
626	0.777778	number_theory	2	A sequence of numbers is defined by $a_1 = 2$, and for all $n \geq 2$, $a_n = a_{n-1}^2 - a_{n-1} + 1$. Determine the smallest positive integer $k$ such that $a_k$ is a prime number.
627	0.666667	geometry	\frac{\pi}{4}	In the complex plane, let $P$ be the point representing the complex number $z = 1 + i$. For any point $Q$ on the circle centered at the origin with radius $3$, define the function $f(Q) = \arg(z \cdot \overline{Q})$, where $\overline{Q}$ i...
628	0.555556	number_theory	0	In the sequence \( a_n \) defined by \( a_1 = 1 \) and \( a_{n+1} = a_n + \frac{1}{a_n} \) for all \( n \geq 1 \), determine the integer part of the sum \( \sum_{k=1}^{100} \left( \frac{1}{a_k + a_{k+1}} \right)^2 \).
629	0.666667	number_theory	0	Let $S$ be the set of all positive integers $n$ such that $\sqrt{n}$ is an integer and $10000 \leq n \leq 20000$. If $n$ is randomly chosen from $S$, what is the probability that $n$ has exactly $4$ distinct prime factors?
630	0.444444	number_theory	3	Find all positive integers \( n \) such that the equation \( x^n + y^n + z^n = w^n \) has integer solutions \( (x, y, z, w) \) with \( x, y, z, w \) being distinct and \( n \) being a prime number greater than 2.
631	0.555556	other	1	In a city, there are exactly $2021$ non-empty households. Each household has a unique number of members, ranging from $1$ to $2021$. A friendly neighborhood policy states that each household must form a committee consisting of exactly two ...
632	0.666667	number_theory	990	Let \( S \) be the set of all positive integers that can be expressed as the sum of two or more consecutive positive integers. Determine how many elements of \( S \) are less than or equal to 1000, and prove that the set of all integers th...
633	0.555556	geometry	2	There is a magical tree that produces fruit every day. On the first day, it produces 1 fruit. Each subsequent day, the number of fruits it produces is the sum of the cubes of the number of fruits produced on the previous day and the day nu...
634	0.333333	number_theory	7	A sequence of positive integers \(a_1, a_2, a_3, \ldots\) is defined by \(a_1 = 2\) and \(a_{n+1} = a_n^2 - a_n + 1\) for all \(n \geq 1\). Find the smallest positive integer \(k\) such that \(a_k\) is divisible by \(1001\).
635	0.777778	number_theory	1	Let $f : \mathbb{Z} \to \mathbb{Z}$ be a function satisfying the following conditions: 1. $f(1) = 1$, 2. $f(x+y) = f(x) + f(y) - 2f(xy)$ for all integers $x$ and $y$, 3. $f(x^2) = [f(x)]^2$ for all integers $x$. Find the sum of all possibl...
636	0.333333	geometry	40	In triangle \(ABC\), the incircle touches sides \(BC\), \(CA\), and \(AB\) at points \(D\), \(E\), and \(F\) respectively. If the area of triangle \(ABC\) is \(60\) square units, and the lengths of \(BD\), \(DC\), and \(CF\) are \(6\), \(8...
637	0.666667	number_theory	6	A sequence of positive integers \(a_1, a_2, a_3, \ldots\) is defined recursively as follows: \(a_1 = 1\), \(a_2 = 2\), and for \(n \geq 3\), \(a_n = a_{n-1} + a_{n-2}\) if \(n\) is odd, and \(a_n = a_{n-1} \cdot a_{n-2}\) if \(n\) is even....
638	0.444444	geometry	0	In the coordinate plane, consider a square with vertices at \((0,0)\), \((1,0)\), \((1,1)\), and \((0,1)\). Let \(P\) be a point inside the square such that the distance from \(P\) to each side of the square is a positive integer. If the s...
639	0.777778	number_theory	2024	Consider a sequence of numbers defined as follows: \(a_1 = 1\), and for \(n \geq 2\), \(a_n\) is the smallest positive integer such that \(a_n\) does not divide \(a_{n-1}\). For example, \(a_2 = 2\), \(a_3 = 3\), and \(a_4 = 4\). Determine...
640	0.444444	number_theory	4	Let \( S \) be the set of all positive integers that can be expressed as the sum of two or more consecutive positive integers. For example, \( 3 = 1 + 2 \) and \( 5 = 2 + 3 \), so \( 3 \) and \( 5 \) are in \( S \). How many integers in th...
641	0.555556	geometry	3	In the complex plane, consider the function \( f(z) = z^3 - 3z^2 + 2z \). Let \( \gamma \) be the circle \( |z| = 2 \) traversed counterclockwise. Using the argument principle, determine the number of zeros of \( f(z) \) inside \( \gamma \...
642	0.777778	number_theory	0	Find all positive integers $n$ such that there exists a positive integer $k$ for which the equation \[n^2 + k^2 + (n+k)^2 = (2023)^2\] holds true. How many such $n$ are there?
643	0.444444	combinatorics	1	A sequence of numbers \(a_1, a_2, a_3, \ldots\) is defined recursively as follows: \(a_1 = 1\), \(a_2 = 1\), and for \(n \geq 3\), \(a_n = a_{n-1} + a_{n-2} - a_{n-3}\). What is the value of \(a_{2023}\)?
644	0.666667	number_theory	7	Consider a sequence of positive integers \(a_1, a_2, a_3, \ldots\) defined recursively as follows: \[ a_1 = 1, \] \[ a_{n+1} = a_n^2 - 2a_n + 3 \text{ for } n \geq 1. \] Determine the smallest integer \(k\) such that \(a_k > 2024\).
645	0.444444	number_theory	99	Let $f:\mathbb{Z}^+ \to \mathbb{Z}^+$ be a function defined by $f(n) = n^2 + 2n + 3$. Find the number of positive integers $n$ less than 100 such that $f(n)$ divides $f(f(n))$.
646	0.333333	number_theory	2016	Let \( S \) be a set of integers from 1 to 2023, inclusive. We define a function \( f: S \to S \) such that for any \( n \in S \), the value \( f(n) \) is the number of integers in \( S \) that are less than \( n \) and are relatively prim...
647	0.333333	number_theory	1000	A sequence of positive integers \(a_1, a_2, a_3, \ldots\) is defined by \(a_1 = 1\), \(a_2 = 2\), and for \(n \geq 3\), \(a_n\) is the smallest integer greater than \(a_{n-1}\) that does not share any prime factors with either \(a_{n-1}\) ...
648	0.666667	geometry	10	In a game of complex chess, a knight moves in a spiral pattern starting from the center of an infinite chessboard. The knight makes its first move to one of the eight adjacent squares, then to the next outer ring, and so on, spiraling outw...
649	0.555556	geometry	\frac{1}{2^{100}}	In a triangular array of squares, each square contains a fraction as follows: each row starts with the fraction \(\frac{1}{2}\) and each subsequent square in the row contains the sum of the fractions in the two squares directly above it. F...
650	0.444444	geometry	\cos\left(\frac{\pi}{n}\right)	In the hyperbolic plane, consider a regular polygon \( P \) with \( n \) sides, where \( n > 6 \). The polygon \( P \) is inscribed in a circle with radius \( R \). The area \( A \) of \( P \) can be expressed as \( A = \frac{nR^2}{2} \sin...
651	0.444444	geometry	1	Find all positive integers \( n \) such that the expression \[ n^4 + 4n^3 + 5n^2 + 4n + 1 \] is a perfect square of an integer.
652	0.333333	combinatorics	1058400	Find the number of ways to arrange the letters in the word "MATHEMATICS" such that no two vowels are adjacent to each other.
653	0.333333	number_theory	3	What is the smallest positive integer \( n \) such that the polynomial \( P(x) = x^n - 2x^{n-1} + 3x^{n-2} - \ldots + (-1)^n \cdot n \) has a root in the interval \( (0, 1) \)?
654	0.444444	number_theory	100	Let $p_n$ denote the $n$th prime number. Consider the sequence defined by $a_k = \frac{p_k + p_{k+1}}{2}$ for $k \geq 1$. Determine the smallest positive integer $n$ such that the product $\prod_{k=1}^{n} a_k$ is greater than $10^{100}$.
655	0.333333	number_theory	90	Find all positive integers \( n \) such that the equation \[ \left\lfloor \frac{n}{10} \right\rfloor + \left\lfloor \frac{n}{100} \right\rfloor + \left\lfloor \frac{n}{1000} \right\rfloor = \frac{n}{9} \] has at least one solution. (Note: ...
656	0.333333	algebra	-1	Let \( f: \mathbb{R} \to \mathbb{R} \) be a continuous function satisfying the following functional equation: \[ f(x + y) = f(x) \cdot f(y) + f(x) + f(y) + xy \] for all real numbers \( x \) and \( y \). Find all possible values of \( f(2)...
657	0.444444	number_theory	1	Let \( P(x) \) be a polynomial of degree 5 with integer coefficients such that \( P(1) = 0 \) and \( P(2) = 1 \). Suppose there exists a positive integer \( n \) for which \( P(n) = 2n \). Determine the number of possible values of \( n \)...
658	0.666667	number_theory	2	In the finite field \(\mathbb{F}_{p}\), where \(p\) is a prime number, let \(P(x) = x^{p-1} - 1\). Define the set \(S = \{P(0), P(1), \ldots, P(p-2)\}\). Determine the number of distinct elements in \(S\), denoted as \(|S|\).
659	0.666667	number_theory	2023	Find the smallest positive integer $n$ such that there exists a sequence of positive integers $b_1, b_2, \ldots, b_n$ satisfying the following conditions: 1. $b_1 = 1$, 2. $b_n = 2023$, 3. For each $i$ from 1 to $n-1$, $b_{i+1} = b_i + d$ ...
660	0.666667	algebra	60	Let \( P(x) \) be a polynomial of degree 5 with real coefficients such that \( P(1) = 10 \), \( P(2) = 20 \), \( P(3) = 30 \), \( P(4) = 40 \), and \( P(5) = 50 \). Additionally, \( P(x) \) has a double root at \( x = 6 \). Find the value ...
661	0.666667	number_theory	16170	There is a sequence of integers defined as follows: \( a_1 = 1 \), and for all \( n \geq 2 \), \( a_n = a_{n-1} + n^2 \). Let \( S = \{ a_1, a_2, a_3, \ldots, a_{20} \} \). Find the largest integer \( k \) such that \( k \) divides the sum...
662	0.333333	geometry	0	Find all positive integers \( n \) such that \( 2^n + 3^n \) is a perfect square.
663	0.333333	geometry	3\sqrt{3} R	Consider a regular hexagon ABCDEF inscribed in a circle with radius \( R \). Point \( P \) is selected at random inside the hexagon. The distances from \( P \) to sides \( AB \), \( BC \), \( CD \), \( DE \), \( EF \), and \( FA \) are den...
664	0.444444	geometry	5	Let \( ABCD \) be a cyclic quadrilateral inscribed in a circle with radius \( R \). The diagonals \( AC \) and \( BD \) intersect at point \( P \). Given that \( AB = 7 \), \( BC = 8 \), \( CD = 9 \), and \( DA = 10 \), find the value of \...
665	0.777778	number_theory	0	Find the number of positive integers $n$ such that the equation $n^2 + 15n + 56 = x^3$ has a solution in positive integers $x$.
666	0.555556	geometry	2	Consider a sequence of positive integers \( a_1, a_2, a_3, \ldots, a_n \) such that each term after the first is the sum of the squares of the digits of the previous term. For example, if \( a_1 = 29 \), then \( a_2 = 2^2 + 9^2 = 85 \), \(...
667	0.666667	geometry	5	Given the polynomial equation \(P(x) = x^5 - 5x^4 + 10x^3 - 10x^2 + 5x - 1\), let \(\alpha, \beta, \gamma, \delta,\) and \(\epsilon\) be its roots. If the sum of the squares of the differences of these roots taken two at a time is 40, find...
668	0.555556	algebra	6	In the complex plane, consider a regular hexagon \(ABCDEF\) centered at the origin with vertices at the \(k\)-th roots of unity. Let \(P\) be a point inside the hexagon such that \(P\) is equidistant from two adjacent vertices, say \(A\) a...
